I (48037) extender_vdp: GT1,id,submitted_us,completed_us,drain_us
I (558678) extender_vdp: GT1,18,8120,9562,1442
I (558678) extender_vdp: GT1,19,13375,18196,4821
I (558679) extender_vdp: GT1,20,10148,12581,2433
I (558679) extender_vdp: GT1,21,10112,12758,2646
I (558680) extender_vdp: GT1,22,10140,12639,2499
I (558680) extender_vdp: GT1,23,10243,12678,2435
I (558681) extender_vdp: GT1,24,10379,13922,3543
I (558681) extender_vdp: GT1,25,10173,13830,3657
I (558682) extender_vdp: GT1,26,10082,13904,3822
I (558682) extender_vdp: GT1,27,10089,13896,3807
I (558683) extender_vdp: GT1,28,9994,13924,3930
I (558683) extender_vdp: GT1,29,10195,13983,3788
I (558684) extender_vdp: GT1,30,10164,14162,3998
I (558684) extender_vdp: GT1,31,10273,14174,3901
I (558685) extender_vdp: GT1,32,10166,14218,4052
I (558685) extender_vdp: GT1,33,10315,14258,3943
I (558686) extender_vdp: GT1,34,9981,14268,4287
I (558686) extender_vdp: GT1,35,9595,14286,4691
I (558687) extender_vdp: GT1,36,9694,11294,1600
I (558687) extender_vdp: GT1,37,9557,11195,1638
I (558688) extender_vdp: GT1,38,22139,26498,4359
I (558688) extender_vdp: GT1,39,9561,11391,1830
I (558689) extender_vdp: GT1,40,9374,11424,2050
I (558689) extender_vdp: GT1,41,9182,11463,2281
I (558690) extender_vdp: GT1,42,9013,11610,2597
I (558690) extender_vdp: GT1,43,8839,11668,2829
I (558691) extender_vdp: GT1,44,8827,11698,2871
I (558691) extender_vdp: GT1,45,8440,11700,3260
I (558692) extender_vdp: GT1,46,8477,11754,3277
I (558692) extender_vdp: GT1,47,8284,11789,3505
I (558693) extender_vdp: GT1,48,8803,13068,4265
I (558693) extender_vdp: GT1,49,8583,12529,3946
I (558694) extender_vdp: GT1,50,10692,12271,1579
I (558694) extender_vdp: GT1,51,8789,12008,3219
I (558695) extender_vdp: GT1,52,8619,12066,3447
I (558695) extender_vdp: GT1,53,8319,12108,3789
I (558696) extender_vdp: GT1,54,8459,12110,3651
I (558696) extender_vdp: GT1,55,8134,12154,4020
I (558697) extender_vdp: GT1,56,8165,12192,4027
I (558697) extender_vdp: GT1,57,8298,12197,3899
I (558698) extender_vdp: GT1,58,8312,12259,3947
I (558698) extender_vdp: GT1,59,8358,12288,3930
I (558699) extender_vdp: GT1,60,8779,13574,4795
I (558699) extender_vdp: GT1,61,9299,13178,3879
I (558700) extender_vdp: GT1,62,9299,12904,3605
I (558700) extender_vdp: GT1,63,9390,13628,4238
I (558701) extender_vdp: GT1,64,8756,13283,4527
I (558701) extender_vdp: GT1,65,8462,9429,967
I (558702) extender_vdp: GT1,66,8089,11079,2990
I (558702) extender_vdp: GT1,67,8125,12609,4484
