GT1,id,submitted_us,completed_us,drain_us
GT1,59,8011,12467,4456
GT1,60,8215,26002,17787
GT1,61,8144,25991,17847
GT1,62,8180,25914,17734
GT1,63,8214,25939,17725
GT1,64,8299,25633,17334
GT1,65,8175,25860,17685
GT1,66,10924,24445,13521
GT1,67,1118,19451,18333
GT1,68,1079,16435,15356
GT1,69,1349,16593,15244
GT1,70,1089,16524,15435
GT1,71,1355,16412,15057
GT1,72,1915,16602,14687
GT1,73,8080,25494,17414
GT1,74,10303,25160,14857
GT1,75,8096,12317,4221
GT1,76,8137,12332,4195
GT1,77,20883,27456,6573
GT1,78,7984,13708,5724
GT1,79,8081,15144,7063
GT1,80,8083,15303,7220
GT1,81,8092,15322,7230
GT1,82,8172,15289,7117
GT1,83,8090,15234,7144
GT1,84,8256,12183,3927
GT1,85,8235,12146,3911
GT1,86,8136,12152,4016
GT1,87,8096,12013,3917
GT1,88,8075,12089,4014
GT1,89,9740,29372,19632
GT1,90,4886,16078,11192
GT1,91,8177,12316,4139
GT1,92,8127,12330,4203
GT1,93,8078,12355,4277
GT1,94,8041,12179,4138
GT1,95,8139,11917,3778
GT1,96,8261,25750,17489
GT1,97,11074,26845,15771
GT1,98,8468,12298,3830
GT1,99,8600,12341,3741
GT1,100,8637,12365,3728
GT1,101,8484,12299,3815
GT1,102,8270,13657,5387
GT1,103,14518,27910,13392
GT1,104,7685,16471,8786
GT1,105,7412,16407,8995
GT1,106,7744,16473,8729
GT1,107,7558,16557,8999
GT1,108,9493,15169,5676
GT1,109,10547,16392,5845
GT1,110,7810,16249,8439
GT1,111,7983,16535,8552
GT1,112,7901,16493,8592
GT1,113,7909,16438,8529
GT1,114,7988,16373,8385
GT1,115,22638,33181,10543
GT1,116,7787,16483,8696
GT1,117,7403,16427,9024
GT1,118,7368,16499,9131
GT1,119,7417,16552,9135
GT1,id,submitted_us,completed_us,drain_us
GT1,0,118151,118171,20
GT1,1,100512,100532,20
GT1,2,91934,91950,16
GT1,3,80442,80470,28
GT1,4,84679,84697,18
GT1,5,85283,85300,17
GT1,6,82145,82162,17
GT1,7,71584,71602,18
GT1,8,86574,86591,17
GT1,9,82721,82738,17
GT1,10,84417,84436,19
GT1,11,85862,85880,18
GT1,12,95197,95215,18
GT1,13,91102,91120,18
GT1,14,88745,88762,17
GT1,15,89796,89813,17
GT1,16,93663,93683,20
GT1,17,94576,94595,19
GT1,18,98743,98760,17
GT1,19,107298,107315,17
GT1,20,110417,110435,18
GT1,21,96241,96261,20
GT1,22,96283,96303,20
GT1,23,106782,106799,17
GT1,24,93024,93041,17
GT1,25,92093,92112,19
GT1,26,80501,80518,17
GT1,27,85083,85102,19
GT1,28,103642,103662,20
GT1,29,84042,84060,18
GT1,30,87378,87398,20
GT1,31,86087,86103,16
GT1,32,82746,82765,19
GT1,33,69927,69946,19
GT1,34,76514,76529,15
GT1,35,75721,75736,15
GT1,36,63932,63948,16
GT1,37,65041,65057,16
GT1,38,61935,61952,17
GT1,39,53503,53520,17
GT1,40,54522,54540,18
GT1,41,67053,67067,14
GT1,42,68254,68269,15
GT1,43,49799,49813,14
GT1,44,53747,53762,15
GT1,45,67547,67561,14
GT1,46,66383,66398,15
GT1,47,64055,64069,14
GT1,48,64761,64786,25
GT1,49,62614,62629,15
GT1,50,68424,68439,15
GT1,51,62170,62185,15
GT1,52,61994,62010,16
GT1,53,61941,61959,18
GT1,54,67439,67455,16
GT1,55,72697,72713,16
GT1,56,81729,81745,16
GT1,57,77534,77549,15
GT1,58,89987,90004,17
GT1,59,86868,86882,14
GT1,60,73569,73584,15
GT1,61,75945,75960,15
GT1,62,75815,75830,15
GT1,63,74538,74550,12
GT1,64,76358,76370,12
GT1,65,76805,76820,15
GT1,66,79596,79610,14
GT1,67,81457,81472,15
GT1,68,88045,88060,15
GT1,69,84134,84149,15
GT1,70,90031,90046,15
GT1,71,91411,91428,17
GT1,72,73913,73928,15
GT1,73,84455,84470,15
GT1,74,82943,82960,17
GT1,75,78603,78619,16
GT1,76,94058,94076,18
GT1,77,87380,87397,17
GT1,78,80248,80265,17
GT1,79,77618,77635,17
GT1,80,77720,77735,15
