"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
96;"R98";"R_0402_5MIL_DWS";1;"1.05k/1%/R0402";;;
97;"R40";"R_0402_5MIL_DWS";1;"NA(0R/R0402)";;;
98;"R79";"R_0402_5MIL_DWS";1;"200R/R0402";;;
99;"U16,U13";"SOT-5X3";2;"TPS2116";;;
100;"RM2";"RA0805_(4X0402)_xx_BIGGEROUTPADS";1;"RA0805_(4X0402)_33R";;;
101;"U8";"QFN-20_EP(21)_3x3x0.6mm_Pitch_0.4mm";1;"ES8311(QFN-20)";;;
102;"RM1";"RA0805_(4X0402)_xx_BIGGEROUTPADS";1;"RMAT_(4x0402)_4.7k";;;
103;"TVS1";"SOT-23-5";1;"ESDS314DBVR(SOT-23-5)";;;
104;"C13";"C_0402_5MIL_DWS";1;"4.7uF/X5R/20%/10V/C0402";;;
105;"FET1";"SOT23";1;"IRLML6402(SOT-23)";;;
106;"R44";"R_0402_5MIL_DWS";1;"30.1k/1%/R0402";;;
107;"R20";"R_0402_5MIL_DWS";1;"NA(10M/R0402)";;;
