symbol,address_hex,code_bytes
_emos_parallel_ez80_write_control,0x007282,39
_mos_strnlen,0x01244c,38
_mos_execMode,0x008cf2,37
_npf_bufputc,0x01bf03,37
_wait_VDP,0x00d9eb,37
_emos_keyboard_mainboard,0x006368,36
_emos_zero,0x003d62,36
_emos_parallel_write_byte,0x00713f,35
_transmit,0x006998,35
_SD_init_API,0x012c24,34
_fat_EOF,0x00d6d4,34
_mos_FPUTC,0x00d6f6,34
_ready,0x007e4c,33
_umm_multi_malloc,0x01aa29,33
_emos_console_write_byte,0x00620e,31
_emos_parallel_engine_fault,0x00776f,31
_emos_print_identity,0x002dcb,31
_I2C_setfrequency,0x0087e2,29
_emos_visible_text,0x0087c5,29
_mos_FLSEEKP,0x00d7cd,29
_I2C_handletimeout,0x008817,27
_emos_parallel_ensure_initialized,0x006fed,27
_emos_parallel_route_write_stream,0x0071e6,26
_enable_timer0,0x012771,26
_mos_SETINTVECTOR,0x00d8c6,26
_umm_calloc,0x01b3b9,26
_umm_init_heap,0x01b389,26
_umm_realloc,0x01b3d3,26
_emos_parallel_route_owned,0x007216,24
_init_I2C,0x0087ff,24
_mos_cmdRUNFILE,0x00a9ef,24
_emos_keyboard_mainboard_settings,0x0063fc,23
_emos_scrub_module_area,0x00456f,23
_mos_cmdLOADFILE,0x00a8ea,23
_emos_parallel_route_write_byte,0x007200,22
_getFilepathPrefixEnd,0x00f2a0,22
_mos_cmdDO,0x0098b8,22
_umm_free,0x01b3ed,22
_umm_malloc,0x01b3a3,22
_waitKey,0x00e502,22
_writeConsole,0x00df1c,22
_emos_sdlink_reset,0x00788e,21
_mos_getkey,0x008af5,21
_uart1_keyboard_stop,0x012b7d,21
_disk_initialize,0x012cdc,20
_mos_cmdCLS,0x00bcaa,20
_shiftPressed,0x0028a6,20
_emos_parallel_route_leave,0x0071d3,19
_emos_parallel_ez80_read_ready,0x007263,18
_init_UART0,0x01279a,17
_init_UART1,0x0127ab,17
_firmware_putc,0x01bdcc,16
_mos_cmdDISC,0x00965f,16
_get_timer0,0x01278b,15
_mos_I2C_CLOSE,0x008864,14
_emos_parallel_ez80_write_data,0x007275,13
_fat_error,0x00d944,13
_emos_read24,0x002d61,12
_doLeftCursor,0x00e128,11
_doRightCursor,0x00e133,11
_disk_ioctl,0x012d4a,10
_mos_cmdMOUNT,0x00bcbe,10
_uart1_keyboard_irq_done,0x012bd5,9
_disk_status,0x012cd4,8
_npf_bufputc_nop,0x01bf28,7
_quickrand,0x002786,7
_emos_parallel_uart1_guard_release,0x00725d,6
_emos_get_mode,0x004586,5
_emos_parallel_epoch_owned,0x00718c,5
