case,variant,kind,exact,failure,bytes,encode_ms,original_cli_exact,sha256
colours,srle2-o0-b4259840-r8-i1,srle2,True,,62,0.01406,False,0c07b0beaa42462ae8b23ec7e629aaabd693e18191905d84379b286ec5a5f77b
colours,srle2-o4-b4259840-r1-i1,srle2,True,,51,0.029829666666666668,False,4a6e9c0689f311c6cbf586d4bcdd972a250740249b3e32215413e18622edf27b
colours,srle2-o4-b4259840-r2-i0,srle2,True,,112,0.03388633333333333,False,0eea992a7b56994014a2b4ea84afabb6b6d17466a818e6ac24cfea894fda7e18
colours,srle2-o4-b4259840-r2-i1,srle2,True,,56,0.030269666666666667,False,891d19efdb715e20a29a371994658eb4b3070fe4fa14cf7a42be1a25df1b28c9
colours,srle2-o4-b4259840-r3-i0,srle2,True,,112,0.033883,False,4d34abeb74add4d67e546d6c92290c36607e4cdadf4c49fde7733075b09165e2
colours,srle2-o4-b4259840-r3-i1,srle2,True,,57,0.030676666666666668,False,4a4b4f82e25f5009e93f94d05665246ad63f7a0ee2195eec8e28f05cce660393
colours,srle2-o4-b4259840-r4-i0,srle2,True,,110,0.03366333333333333,False,62beb9131d18452731a0ae29c4287ae6b29db3d984901f341f6b3692d924a9c7
colours,srle2-o4-b4259840-r4-i1,srle2,True,,60,0.030603333333333333,False,e848e281fcb83a8dac9478d36c217261eec81803abf23179416a3853a0782035
colours,srle2-o4-b4259840-r8-i0,srle2,True,,112,0.033566,False,34a0651c89911512e406a4bd4e3e67d90f5d1dbd155da367a8c62f309fd98b45
colours,srle2-o4-b4259840-r8-i1,srle2,True,,65,0.03160333333333333,False,8a92d5ac7409390342c039a52fa50c71ce0c3a04b39d1b6e26c1630b4fe2a989
colours,png-l1-s0-f0,png,True,,334,0.01271,False,da06869a00f542516a524a742a42b762af3dd937d1a2cbc9a1aac4b24921a3cd
colours,png-l1-s0-f1,png,True,,274,0.006476666666666666,False,971c8a90b8307d118f86291ade534e065fd8943f3ca46862d97b5040f2f3feb4
colours,png-l1-s0-f2,png,True,,334,0.01143,False,b9de757c1abda53538f64ad6382078e5ba33a452182d339fc103fed822d03f07
colours,png-l1-s3-f0,png,True,,334,0.009153333333333333,False,da06869a00f542516a524a742a42b762af3dd937d1a2cbc9a1aac4b24921a3cd
colours,png-l1-s3-f1,png,True,,274,0.005993333333333333,False,971c8a90b8307d118f86291ade534e065fd8943f3ca46862d97b5040f2f3feb4
colours,png-l1-s3-f2,png,True,,334,0.00893,False,b9de757c1abda53538f64ad6382078e5ba33a452182d339fc103fed822d03f07
colours,png-l1-s2-f0,png,True,,334,0.007923333333333333,False,da06869a00f542516a524a742a42b762af3dd937d1a2cbc9a1aac4b24921a3cd
colours,png-l1-s2-f1,png,True,,288,0.006606666666666667,False,c692095da39cb3f7fcafc1443b03793d7dd7ff6b67e9268f4d9a2639f300343a
colours,png-l1-s2-f2,png,True,,334,0.00841,False,b9de757c1abda53538f64ad6382078e5ba33a452182d339fc103fed822d03f07
colours,png-l3-s0-f0,png,True,,334,0.008523333333333334,False,07fad86b04a12d7cb1f0e143b39021ce124c67b6583d02652c5ea4583e5341fd
colours,png-l3-s0-f1,png,True,,274,0.005716666666666667,False,2d7d3aff01c1a9df0574e23be7b9c0887ec0a17dcd2605efdbc72a1f6fee0499
colours,png-l3-s0-f2,png,True,,334,0.008083,False,8a8c818bfe0a41a8ffefbc64c5d100cebfbc8ece82e9e77189df285b3bdecfba
colours,png-l3-s3-f0,png,True,,334,0.00817,False,da06869a00f542516a524a742a42b762af3dd937d1a2cbc9a1aac4b24921a3cd
colours,png-l3-s3-f1,png,True,,274,0.005823333333333333,False,971c8a90b8307d118f86291ade534e065fd8943f3ca46862d97b5040f2f3feb4
colours,png-l3-s3-f2,png,True,,334,0.00814,False,b9de757c1abda53538f64ad6382078e5ba33a452182d339fc103fed822d03f07
colours,png-l3-s2-f0,png,True,,334,0.007906666666666666,False,da06869a00f542516a524a742a42b762af3dd937d1a2cbc9a1aac4b24921a3cd
colours,png-l3-s2-f1,png,True,,288,0.006573333333333334,False,c692095da39cb3f7fcafc1443b03793d7dd7ff6b67e9268f4d9a2639f300343a
colours,png-l3-s2-f2,png,True,,334,0.008166666666666666,False,b9de757c1abda53538f64ad6382078e5ba33a452182d339fc103fed822d03f07
tiny,raw,raw,True,,1,0.0016733333333333333,False,2f0fd1e89b8de1d57292742ec380ea47066e307ad645f5bc3adad8a06ff58608
tiny,rle2,rle2,True,,15,0.0015933333333333333,False,6158f1ca8810876af25e261a5146b67e4c38086c3285f943bef1413dec0fcff8
tiny,szip-o0-b32768-r1-i0,szip,True,,25,0.005286333333333333,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o0-b131072-r1-i0,szip,True,,25,0.0046366666666666665,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o0-b4259840-r1-i0,szip,True,,25,0.0044533333333333334,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o3-b32768-r1-i0,szip,True,,25,0.0043100000000000005,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o3-b131072-r1-i0,szip,True,,25,0.0043,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o3-b4259840-r1-i0,szip,True,,25,0.004373333333333333,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o4-b32768-r1-i0,szip,True,,25,0.004333333333333333,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o4-b131072-r1-i0,szip,True,,25,0.0044466666666666665,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o4-b4259840-r1-i0,szip,True,,25,0.00441,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
tiny,szip-o6-b32768-r1-i0,szip,True,,25,0.004426666666666666,False,6e24ccc6fe5cbf3d81edf3814d6b8a998beb196e545ecc22d1e9189bc7c03265
