symbol,address_hex,code_bytes
_mos_LOAD_API,0x00a94b,68
_mos_SAVE_API,0x00a98f,68
_readPalette,0x00c91f,68
_umm_multi_calloc,0x019b80,68
_findParentSystemVariable,0x00f3d8,67
_uart1_keyboard_close,0x0113cd,67
_uart1_receive_ready,0x011220,67
_xdigit_to_int,0x008340,67
_close_UART1,0x011192,66
_emos_parallel_route_enter,0x005a0d,66
_gotoEditLineEnd,0x00cda4,66
_cmp_filinfo,0x00bb57,65
_f_putc,0x017cf6,64
_mos_DIR_API,0x00ab79,64
_mos_cmdJMP,0x0090fa,64
_emos_sdlink_packet,0x00611f,63
_umm_multi_free,0x019126,63
_rtc_update,0x002a60,62
_expandVariableToken,0x010664,61
_emos_adapter_ready,0x0034d7,60
_emos_init,0x002d6d,60
_emos_keyboard_transport_release,0x00556b,60
_f_chdrive,0x014b0f,60
_mos_cmdCD,0x009257,60
_mos_cmdEXEC,0x0088f3,60
_mos_cmdMKDIR,0x009ae8,60
_mos_cmdTYPE,0x00a35b,60
_mos_CD_API,0x00a9d3,58
_mos_MKDIR_API,0x00bcfe,58
_f_close,0x014ad6,57
_mos_GETRTC,0x00a1d4,55
_mos_error,0x00733b,54
_mos_strdup,0x010cad,54
_mos_FEOF,0x00c03a,53
_mos_OSCLI,0x00c0b3,52
_fat_lseek,0x00c1a1,51
_fat_size,0x00c162,50
_fat_tell,0x00c130,50
_mos_I2C_OPEN,0x0070ae,50
_mos_cmdCREDITS,0x00a329,50
_editHistoryInit,0x00d926,49
_init_interrupts,0x002755,49
_emos_console_write_stream,0x004a5a,48
_f_findfirst,0x016577,48
_transmit_block,0x00562c,48
_emos_parallel_uart1_guard_acquire,0x005aaa,47
_mos_UNPACKRTC,0x00c0e7,47
_emos_parallel_generation_next,0x00600a,46
_getModeInformation,0x00c8f1,46
_checkAttribute,0x00dd5a,45
_disk_read,0x01152b,45
_disk_write,0x011558,45
_emos_parallel_release_local_pins,0x005884,45
_rtc_formatTime,0x002c58,45
_emos_adapter_recover,0x0034ab,44
_emos_keyboard_fault,0x004c8f,44
_mos_FLSEEK,0x00bff2,43
_printf,0x019d53,43
_emos_parallel_last_fault,0x0059de,42
_f_closedir,0x0161d2,42
_insertSystemVariable,0x00f1c8,41
_emos_parallel_ez80_write_control,0x005afe,39
_mos_strnlen,0x010c87,38
_mos_execMode,0x00756e,37
_npf_bufputc,0x01a73e,37
_wait_VDP,0x00c23b,37
_emos_keyboard_mainboard,0x004be4,36
_emos_zero,0x0031a7,36
_emos_parallel_write_byte,0x0059bb,35
_transmit,0x005214,35
_SD_init_API,0x01145f,34
_fat_EOF,0x00bf24,34
_mos_FPUTC,0x00bf46,34
_ready,0x0066c8,33
_umm_multi_malloc,0x019264,33
_emos_console_write_byte,0x004a8a,31
_emos_parallel_engine_fault,0x005feb,31
_emos_print_identity,0x002da9,31
_I2C_setfrequency,0x00705e,29
_emos_visible_text,0x007041,29
_mos_FLSEEKP,0x00c01d,29
_I2C_handletimeout,0x007093,27
_emos_parallel_ensure_initialized,0x005869,27
_emos_parallel_route_write_stream,0x005a62,26
_enable_timer0,0x010fac,26
_mos_SETINTVECTOR,0x00c116,26
_umm_calloc,0x019bf4,26
_umm_init_heap,0x019bc4,26
_umm_realloc,0x019c0e,26
_emos_parallel_route_owned,0x005a92,24
_init_I2C,0x00707b,24
_mos_cmdRUNFILE,0x00923f,24
_emos_keyboard_mainboard_settings,0x004c78,23
_mos_cmdLOADFILE,0x00913a,23
_emos_parallel_route_write_byte,0x005a7c,22
_getFilepathPrefixEnd,0x00dadb,22
_mos_cmdDO,0x008108,22
_umm_free,0x019c28,22
_umm_malloc,0x019bde,22
_waitKey,0x00cd3d,22
_writeConsole,0x00c76c,22
_emos_sdlink_reset,0x00610a,21
_mos_getkey,0x007371,21
_uart1_keyboard_stop,0x0113b8,21
_disk_initialize,0x011517,20
_mos_cmdCLS,0x00a4fa,20
_shiftPressed,0x0028a6,20
_emos_parallel_route_leave,0x005a4f,19
_emos_application_leave,0x003266,18
_emos_parallel_ez80_read_ready,0x005adf,18
_init_UART0,0x010fd5,17
_init_UART1,0x010fe6,17
_firmware_putc,0x01a607,16
_mos_cmdDISC,0x007eaf,16
_get_timer0,0x010fc6,15
_mos_I2C_CLOSE,0x0070e0,14
_emos_parallel_ez80_write_data,0x005af1,13
_fat_error,0x00c194,13
_emos_read24,0x002d61,12
_doLeftCursor,0x00c963,11
_doRightCursor,0x00c96e,11
_disk_ioctl,0x011585,10
_mos_cmdMOUNT,0x00a50e,10
_uart1_keyboard_irq_done,0x011410,9
_disk_status,0x01150f,8
_npf_bufputc_nop,0x01a763,7
_quickrand,0x002786,7
_emos_parallel_uart1_guard_release,0x005ad9,6
_emos_get_mode,0x003278,5
_emos_parallel_epoch_owned,0x005a08,5
